Make,Model,Price,Year,Kilometer,Fuel,Transmission,Location,Color,Owner,Seller,Engine,Power,Torque,Drivetrain,Length,Width,Height,Seats,Tank
Tata,Nano Base,490,2010,60000,Petrol,Manual,Gurgaon,White,First,Individual,624,35@5250,48@3000,RWD,3099,1495,1652,4,15
Hyundai,i10 Era,1300,2009,59000,Petrol,Manual,Kanpur,Silver,Second,Individual,1086,67@5500,99@2800,FWD,3565,1595,1550,5,35
Hyundai,Santro GLS,1410,2009,56400,Petrol,Manual,Jamshedpur,Silver,Third,Individual,1086,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35
Hyundai,Santro GL (CNG),1450,2009,72000,CNG,Manual,Kanpur,Silver,Second,Individual,1086,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35
Maruti Suzuki,Wagon R LXi Minor,1450,2009,39586,Petrol,Manual,Ranchi,Red,First,Individual,1061,67@6200,84@3500,FWD,3520,1475,1690,5,35
Hyundai,i10 Magna (O),1500,2008,62000,Petrol,Manual,Mumbai,Red,Second,Individual,1086,67@5500,99@2800,FWD,3565,1595,1550,5,35
Maruti Suzuki,Alto LXi CNG,1550,2009,56852,CNG,Manual,Kanpur,Gold,Second,Individual,796,39 bhp @ 6200 rpm,54 Nm @ 3000 rpm,FWD,3495,1475,1460,5,35
Maruti Suzuki,Alto LXi CNG,1550,2011,90342,CNG,Manual,Ambala Cantt,White,Second,Individual,796,39 bhp @ 6200 rpm,54 Nm @ 3000 rpm,FWD,3495,1475,1460,5,35
Maruti Suzuki,Wagon R LXi Minor,1600,2008,50000,Petrol,Manual,Varanasi,Silver,Second,Individual,1061,67@6200,84@3500,FWD,3520,1475,1690,5,35
Maruti Suzuki,Alto VXi (O) [2014-2019],1600,2011,72000,Petrol,Manual,Kanpur,Silver,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3545,1490,1475,5,35
Hyundai,i10 Magna 1.2,1650,2009,55000,Petrol,Manual,Lucknow,White,First,Individual,1197,80@5200,111@4000,FWD,3565,1595,1550,5,35
Hyundai,i10 Magna,1700,2009,135797,Petrol,Manual,Lucknow,Silver,Second,Individual,1086,67@5500,99@2800,FWD,3565,1595,1550,5,35
Hyundai,i10 Magna,1750,2009,65000,Petrol,Manual,Jamshedpur,Blue,Second,Individual,1086,67@5500,99@2800,FWD,3565,1595,1550,5,35
Hyundai,i10 Magna,1750,2009,23000,Petrol,Manual,Mumbai,Red,First,Individual,1086,67@5500,99@2800,FWD,3565,1595,1550,5,35
Maruti Suzuki,Swift DZire VDI,1750,2008,65000,Diesel,Manual,Jamshedpur,Silver,Second,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Maruti Suzuki,Alto 800 Std,1800,2014,48000,Petrol,Manual,Ranchi,Silver,Third,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Alto VXi,1850,2012,37000,Petrol,Manual,Kolkata,Red,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Hyundai,i10 Sportz 1.2 AT,1850,2008,61000,Petrol,Automatic,Pune,Black,Third,Individual,1197,80@5200,111@4000,FWD,3565,1595,1550,5,35
Honda,Civic 1.8S MT,1900,2006,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799,130 bhp @ 6300 rpm,171.62 Nm @ 4300 rpm,FWD,4545,1750,1450,5,50
Chevrolet,Spark LS 1.0 BS-III,1900,2013,66000,Petrol,Manual,Lucknow,White,First,Individual,995,62 bhp @ 5400 rpm,90 Nm @ 4200 rpm,FWD,3495,1495,1518,5,38
Hyundai,i10 Sportz 1.2,1900,2010,60000,Petrol,Manual,Roorkee,White,Third,Individual,1197,80@5200,111@4000,FWD,3565,1595,1550,5,35
Honda,Jazz S,1950,2010,32000,Petrol,Manual,Gurgaon,Silver,First,Individual,1198,89 bhp @ 6200 rpm,110 Nm @ 4800 rpm,FWD,3900,1695,1535,5,42
Maruti Suzuki,Wagon R Duo LXi LPG,1950,2009,102000,LPG,Manual,Nashik,White,First,Individual,1061,58@6000,77@4500,FWD,3520,1475,1660,5,35
Datsun,Redigo T(O) 1.0 [2017-2019],1980,2017,24000,Petrol,Manual,Faridabad,Red,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3429,1560,1541,5,28
Hyundai,Santro GL (CNG),2000,2013,57000,CNG,Manual,Kanpur,White,First,Individual,1086,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35
